"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/forecasting-classification?temperatures=23,24,25",3039,0,64000,75704,1294,305262,101,8.38,0.00,64000,89000,105000,118000,153000,187000,232000,252000,291000,305000,305000,305000
"None","Aggregated",3039,0,64000,75704,1294,305262,101,8.38,0.00,64000,89000,105000,118000,153000,187000,232000,252000,291000,305000,305000,305000
